,WELL_ID,X_TOP,Y_TOP,X_BHP,Y_BHP,h,V
0,110000204,451633,7595651,451633,7595651,11,2515210175.5
1,110001100,451521,7600570,450897,7600603,9,1832158764.0
2,110001200,452201,7600490,452910,7601194,11,2515210175.5
3,110001300,451492,7599970,450897,7599984,10,1868680390.0
4,110001400,452552,7599990,453259,7600674,14,2620897251.0
5,110001500,451380,7600269,450897,7600281,10,1868680390.0
6,110001700,452514,7600366,453224,7601066,12,2363950158.0
7,110003100,451127,7595561,450576,7595325,13,1842033225.5
8,110003200,451818,7595871,452547,7596586,10,1868680390.0
9,110003300,451291,7595212,450742,7595002,11,2515210175.5
10,110003400,452211,7595497,452998,7596111,9,1832158764.0
11,110003500,451077,7595246,450909,7595179,14,2620897251.0
12,110003600,452202,7595863,452955,7596513,8,1381401648.0
13,110005824,450024,7596318,449981,7596333,12,2363950158.0
14,110007200,457857,7601430,457298,7600275,11,2515210175.5
15,110007300,459596,7600657,458958,7600014,9,1832158764.0
16,110007400,459613,7600322,458794,7599533,10,1868680390.0
17,110007700,456951,7597964,456996,7597486,9,1832158764.0
18,110008600,461711,7603314,462993,7603956,11,2515210175.5
19,110008800,459403,7600816,458735,7600127,8,1381401648.0
20,110009100,457870,7599779,458490,7600413,8,1381401648.0
21,110009200,456320,7597830,455286,7597172,9,1832158764.0
22,110010200,461802,7603016,463385,7603804,9,1832158764.0
23,110010400,459201,7601120,458535,7600487,8,1381401648.0
24,110010700,456832,7598503,456591,7597583,13,1842033225.5
25,110010800,456085,7598045,455219,7597325,9,1832158764.0
26,110011000,453861,7596676,454572,7595837,11,2515210175.5
27,110011000,453861,7596676,454572,7595837,13,1842033225.5
28,110012000,461829,7602595,462347,7601446,11,2515210175.5
29,110012108,455558,7599578,455558,7599578,10,1868680390.0
30,110012200,458977,7601215,457958,7600306,14,2620897251.0
31,110012500,456587,7598842,456474,7597761,11,2515210175.5
32,110012600,455689,7598110,454249,7596786,8,1381401648.0
33,110012800,453572,7596561,454268,7595732,13,1842033225.5
34,110012908,445747,7595242,444209,7594473,12,2363950158.0
35,110013800,460106,7602854,459260,7601967,14,2620897251.0
36,110013804,453308,7601634,453268,7601397,11,2515210175.5
37,110014000,458979,7601735,458124,7600900,9,1832158764.0
38,110014100,458081,7600633,457252,7599858,10,1868680390.0
39,110014300,456512,7599303,456046,7598421,13,1842033225.5
40,110014400,455391,7598111,454207,7597030,12,2363950158.0
41,110014600,453071,7596554,454010,7595584,11,2515210175.5
42,110015400,462930,7606821,461808,7605926,10,1868680390.0
43,110015500,461579,7605056,462577,7605072,8,1381401648.0
44,110015700,461505,7602629,461977,7600959,12,2363950158.0
45,110016200,456213,7599435,456974,7600119,13,1842033225.5
46,110016400,454689,7597883,455370,7598582,8,1381401648.0
47,110016500,453900,7597120,455112,7598053,14,2620897251.0
48,110016600,453111,7596313,453823,7597091,10,1868680390.0
49,110016800,451670,7595084,452767,7595267,8,1381401648.0
50,110017300,462797,7607109,461920,7606367,10,1868680390.0
51,110017400,461547,7605228,462225,7605972,8,1381401648.0
52,110018100,456294,7599915,456765,7600383,12,2363950158.0
53,110018200,455442,7599068,456227,7599589,10,1868680390.0
54,110018300,454567,7598184,455569,7598991,9,1832158764.0
55,110018400,453939,7597563,454408,7598022,10,1868680390.0
56,110018500,452944,7596623,453720,7597381,10,1868680390.0
57,110018600,459202,7601495,460378,7602822,9,1832158764.0
58,110018700,450587,7594587,449799,7593783,8,1381401648.0
59,110018800,449129,7593333,448113,7592379,10,1868680390.0
60,110019200,463840,7607954,464539,7608749,8,1381401648.0
61,110019300,462328,7606688,462234,7607954,9,1832158764.0
62,110019400,463292,7606906,462296,7605837,12,2363950158.0
63,110019900,458066,7602857,457216,7601974,11,2515210175.5
64,110020200,455899,7599941,456529,7600568,13,1842033225.5
65,110020300,455267,7599102,456166,7599914,10,1868680390.0
66,110020400,454345,7598372,455271,7599492,13,1842033225.5
67,110020500,453771,7597814,454787,7598598,13,1842033225.5
68,110020600,452744,7596778,453592,7597638,13,1842033225.5
69,110021000,450038,7593530,450689,7594188,9,1832158764.0
70,110021300,463563,7608060,464214,7608733,9,1832158764.0
71,110021400,463029,7606619,464488,7606607,11,2515210175.5
72,110021500,462690,7607168,462192,7606832,13,1842033225.5
73,110021900,457931,7603137,457085,7602426,12,2363950158.0
74,110022200,458830,7604606,457860,7603658,10,1868680390.0
75,110022300,455760,7600231,456447,7600918,9,1832158764.0
76,110022400,454980,7599447,455595,7600243,8,1381401648.0
77,110022500,454190,7598665,454842,7599396,9,1832158764.0
78,110022600,453416,7597888,454186,7598846,11,2515210175.5
79,110022700,452680,7597152,453285,7597858,9,1832158764.0
80,110022800,451652,7596282,452497,7597066,10,1868680390.0
81,110022900,451811,7596180,451278,7595345,12,2363950158.0
82,110023100,449457,7593009,448519,7592194,9,1832158764.0
83,110023700,463531,7608429,464351,7609265,12,2363950158.0
84,110023800,462442,7607249,463459,7607896,8,1381401648.0
85,110023900,461469,7605519,462166,7606283,10,1868680390.0
86,110024000,462794,7608232,462549,7608967,10,1868680390.0
87,110024300,458522,7603429,459455,7604285,10,1868680390.0
88,110024400,458231,7602596,457274,7601574,9,1832158764.0
89,110024700,455273,7600197,456074,7600954,9,1832158764.0
90,110024800,454496,7599298,455214,7600155,14,2620897251.0
91,110024900,453816,7598704,454424,7599327,13,1842033225.5
92,110025000,453219,7598106,453723,7598775,11,2515210175.5
93,110025100,452142,7596955,452992,7597911,9,1832158764.0
94,110025200,451499,7596394,452169,7597117,8,1381401648.0
95,110025300,450704,7595637,451467,7596447,8,1381401648.0
96,110025500,450306,7595090,449160,7594000,10,1868680390.0
97,110026200,462018,7607704,461724,7606583,12,2363950158.0
98,110026700,458634,7604778,457774,7603975,14,2620897251.0
99,110026800,458752,7606307,457924,7607001,12,2363950158.0
100,110027600,452760,7598328,452056,7597624,12,2363950158.0
101,110027700,452207,7597852,451329,7596810,11,2515210175.5
102,110027800,451345,7596665,450830,7596153,8,1381401648.0
103,110027900,450319,7595873,449661,7595189,12,2363950158.0
104,110028000,449643,7594849,448951,7594209,12,2363950158.0
105,110028100,448610,7594043,447690,7593126,13,1842033225.5
106,110028900,462587,7609220,463411,7610352,8,1381401648.0
107,110029000,462618,7608072,462400,7609063,9,1832158764.0
108,110029100,463469,7608576,464071,7609179,14,2620897251.0
109,110029400,458548,7605662,457525,7606026,9,1832158764.0
110,110029500,458894,7604284,458298,7603626,13,1842033225.5
111,110029800,455736,7601546,456501,7602229,11,2515210175.5
112,110029900,455593,7601311,454951,7600677,13,1842033225.5
113,110030000,454856,7600735,454495,7600404,8,1381401648.0
114,110030100,452484,7598319,453798,7599533,13,1842033225.5
115,110030300,452462,7598425,451777,7597742,10,1868680390.0
116,110030400,451748,7597494,450988,7596874,11,2515210175.5
117,110030500,450994,7596726,450290,7596150,10,1868680390.0
118,110030600,450190,7595938,449479,7595210,14,2620897251.0
119,110030700,449551,7595191,448729,7594424,9,1832158764.0
120,110030800,448177,7594927,447323,7594069,12,2363950158.0
121,110031400,462274,7607694,462168,7607113,12,2363950158.0
122,110031600,462989,7608664,463622,7609313,11,2515210175.5
123,110031700,462454,7607873,462255,7608524,10,1868680390.0
124,110031800,462861,7608879,463481,7609648,13,1842033225.5
125,110032100,458539,7605392,457439,7605301,9,1832158764.0
126,110032400,456376,7602630,457051,7603001,14,2620897251.0
127,110032500,455611,7601686,456427,7602365,8,1381401648.0
128,110032600,455542,7601733,454807,7601046,14,2620897251.0
129,110032700,454803,7600948,454260,7600427,8,1381401648.0
130,110032800,452606,7598833,453604,7599726,13,1842033225.5
131,110033000,452168,7598574,451688,7598091,10,1868680390.0
132,110033100,451657,7597799,450830,7597122,13,1842033225.5
133,110033200,450902,7597075,450113,7596339,12,2363950158.0
134,110033300,450041,7596207,449350,7595519,11,2515210175.5
135,110033400,449299,7595380,448533,7594693,14,2620897251.0
136,110033500,448385,7594651,447567,7593617,12,2363950158.0
137,110034300,464430,7610631,464464,7609504,9,1832158764.0
138,110034600,462825,7609180,463270,7609890,12,2363950158.0
139,110035200,456400,7602913,457022,7603453,12,2363950158.0
140,110035300,455728,7602260,456098,7602689,9,1832158764.0
141,110035400,455223,7601798,454534,7601177,9,1832158764.0
142,110035500,454410,7601003,453973,7600569,9,1832158764.0
143,110035600,453800,7600362,452325,7599180,14,2620897251.0
144,110035800,452048,7598867,451217,7598061,14,2620897251.0
145,110035900,451302,7597964,450564,7597297,8,1381401648.0
146,110036000,450534,7597125,449989,7596587,14,2620897251.0
147,110036100,449727,7596319,449029,7595614,10,1868680390.0
148,110036200,449003,7595510,448248,7594856,8,1381401648.0
149,110036300,449827,7594935,450617,7595770,8,1381401648.0
150,110037100,463408,7610776,462287,7609528,13,1842033225.5
151,110037300,463037,7608363,463915,7609250,14,2620897251.0
152,110038000,455970,7602915,456836,7603828,8,1381401648.0
153,110038200,455128,7602177,454305,7601464,11,2515210175.5
154,110038300,454279,7601309,453470,7600720,10,1868680390.0
155,110038400,453563,7600600,452456,7599583,9,1832158764.0
156,110038500,453040,7599984,452565,7599594,10,1868680390.0
157,110038600,451657,7598914,450961,7598403,11,2515210175.5
158,110038700,451268,7598294,450488,7597675,12,2363950158.0
159,110038800,450476,7597491,449884,7596891,13,1842033225.5
160,110038900,449696,7596717,449055,7596079,8,1381401648.0
161,110039000,448941,7595911,448270,7595073,11,2515210175.5
162,110039100,448062,7595289,447259,7594529,11,2515210175.5
163,110040000,463409,7610938,464055,7611703,12,2363950158.0
164,110040100,463155,7611098,461976,7610090,13,1842033225.5
165,110040200,463800,7610416,464539,7611363,9,1832158764.0
166,110040800,456694,7604761,455968,7604083,13,1842033225.5
167,110040900,456508,7603955,456894,7604325,10,1868680390.0
168,110041000,456311,7603865,455783,7603278,10,1868680390.0
169,110041200,454152,7601711,454748,7602297,8,1381401648.0
170,110041300,453366,7600890,454101,7601520,10,1868680390.0
171,110041500,451769,7599202,452581,7599833,9,1832158764.0
172,110041600,450259,7599165,450881,7599795,11,2515210175.5
173,110041800,449468,7596850,450335,7597595,8,1381401648.0
174,110042000,447964,7595376,448675,7595878,9,1832158764.0
175,110042100,446443,7595263,447040,7595850,14,2620897251.0
176,110043000,463224,7610903,462135,7609795,14,2620897251.0
177,110043100,463235,7611237,463945,7612085,9,1832158764.0
178,110043700,457208,7605429,457282,7606863,11,2515210175.5
179,110043800,456244,7604144,457158,7604989,10,1868680390.0
180,110043900,455960,7603914,455558,7603471,12,2363950158.0
181,110044100,453885,7601875,454693,7602719,12,2363950158.0
182,110044200,453304,7601194,453966,7601864,13,1842033225.5
183,110044400,451673,7599526,452410,7600242,11,2515210175.5
184,110044500,450534,7597981,449834,7597289,9,1832158764.0
185,110044600,449968,7597870,450910,7598851,13,1842033225.5
186,110044700,449231,7597045,449979,7597836,10,1868680390.0
187,110044800,448292,7596113,449062,7596787,9,1832158764.0
188,110044900,447661,7595515,448410,7596262,10,1868680390.0
189,110045000,447020,7594744,447640,7595408,9,1832158764.0
190,110046200,463078,7611366,463198,7612486,10,1868680390.0
191,110046900,456026,7604321,456723,7605002,13,1842033225.5
192,110047000,455766,7604255,455227,7603522,13,1842033225.5
193,110047200,453687,7602070,454284,7602783,11,2515210175.5
194,110047300,452959,7601148,453618,7601903,13,1842033225.5
195,110047500,451365,7599672,452045,7600400,11,2515210175.5
196,110047600,450461,7598863,451184,7599684,13,1842033225.5
197,110047700,449670,7597959,450587,7598886,8,1381401648.0
198,110047800,449062,7597313,449674,7598038,11,2515210175.5
199,110047900,448333,7596503,449064,7597185,11,2515210175.5
200,110048000,447468,7595750,448147,7596429,14,2620897251.0
201,110048100,446837,7595003,447445,7595614,14,2620897251.0
202,110049200,463730,7610727,464336,7611344,10,1868680390.0
203,110049900,455841,7604571,456869,7605343,8,1381401648.0
204,110050000,455455,7604132,454923,7603847,12,2363950158.0
205,110050100,454284,7602966,455093,7603803,10,1868680390.0
206,110050300,452902,7601622,453567,7602259,12,2363950158.0
207,110050400,451994,7600714,452801,7601438,14,2620897251.0
208,110050500,452007,7600676,451593,7600277,8,1381401648.0
209,110050600,450495,7599197,451085,7599791,13,1842033225.5
210,110050700,449766,7598473,450573,7599232,10,1868680390.0
211,110050800,448801,7597429,449616,7598427,10,1868680390.0
212,110050900,448211,7596804,448921,7597485,11,2515210175.5
213,110051000,447162,7595877,447890,7596587,13,1842033225.5
214,110051100,446567,7595169,447158,7595761,10,1868680390.0
215,110052300,460541,7609893,460611,7608790,10,1868680390.0
216,110052900,457055,7605383,456910,7606254,14,2620897251.0
217,110053000,455626,7604752,456441,7605568,11,2515210175.5
218,110053100,455664,7604550,454841,7604128,9,1832158764.0
219,110053200,454074,7603214,454840,7603985,13,1842033225.5
220,110053400,452527,7601672,453260,7602364,13,1842033225.5
221,110053500,451774,7600904,452331,7601474,10,1868680390.0
222,110053700,450139,7599276,450775,7599909,13,1842033225.5
223,110053800,449256,7598364,450014,7599229,9,1832158764.0
224,110053900,448577,7597692,449188,7598453,8,1381401648.0
225,110054000,447740,7596705,448399,7597545,10,1868680390.0
226,110054100,447030,7596184,447712,7596865,12,2363950158.0
227,110054200,446402,7595407,446871,7595866,12,2363950158.0
228,110056000,455099,7605305,455691,7605924,11,2515210175.5
229,110056100,456151,7605913,456982,7606655,11,2515210175.5
230,110056300,453881,7603410,453705,7602433,10,1868680390.0
231,110056500,451621,7601184,452356,7601916,11,2515210175.5
232,110056800,449975,7599428,449307,7598640,9,1832158764.0
233,110056900,449191,7598745,448526,7598032,10,1868680390.0
234,110057000,448393,7597973,447669,7597258,11,2515210175.5
235,110057100,447532,7597090,446598,7596145,14,2620897251.0
236,110058500,460209,7609905,459986,7608416,12,2363950158.0
237,110058800,458674,7607389,459570,7606788,11,2515210175.5
238,110058900,455730,7607338,454951,7607655,9,1832158764.0
239,110059000,457721,7608740,458602,7609419,13,1842033225.5
240,110059200,454992,7605542,455638,7606221,13,1842033225.5
241,110059300,455073,7605057,454497,7604460,10,1868680390.0
242,110059400,454249,7604218,453706,7603671,12,2363950158.0
243,110059500,453565,7603552,453089,7603047,11,2515210175.5
244,110059600,452934,7602825,452348,7602108,8,1381401648.0
245,110059700,451876,7602157,451231,7601537,9,1832158764.0
246,110059800,451171,7601198,450514,7600386,11,2515210175.5
247,110059900,450410,7600351,450024,7599608,9,1832158764.0
248,110060000,449819,7599700,449049,7599032,10,1868680390.0
249,110060100,448886,7598829,448126,7598107,11,2515210175.5
250,110060200,447951,7598035,447262,7597323,11,2515210175.5
251,110060300,447174,7597160,446490,7596474,13,1842033225.5
252,110061800,458059,7608453,459099,7609902,9,1832158764.0
253,110061900,457106,7607790,457449,7609034,8,1381401648.0
254,110062000,457173,7607491,457095,7606485,8,1381401648.0
255,110062100,456535,7606941,455645,7606193,8,1381401648.0
256,110062200,454825,7605593,455426,7606286,10,1868680390.0
257,110062300,454950,7605353,454155,7604473,8,1381401648.0
258,110062400,454145,7604555,453688,7603884,12,2363950158.0
259,110062500,453444,7603848,452601,7603330,10,1868680390.0
260,110062600,452730,7603139,451926,7602331,8,1381401648.0
261,110062700,451832,7602336,451181,7601693,14,2620897251.0
262,110062800,450853,7601318,450299,7600802,10,1868680390.0
263,110062900,450275,7600688,449491,7600099,9,1832158764.0
264,110063000,449438,7599751,449046,7599404,10,1868680390.0
265,110063100,448943,7599349,448045,7598455,10,1868680390.0
266,110063200,447867,7598377,447167,7597680,8,1381401648.0
267,110063300,447165,7597573,446393,7596798,12,2363950158.0
268,110064900,457676,7608377,458656,7609317,13,1842033225.5
269,110065100,456889,7607759,455919,7606956,9,1832158764.0
270,110065200,456194,7607023,455472,7606512,12,2363950158.0
271,110065300,454593,7605663,455117,7606417,10,1868680390.0
272,110065400,454635,7605464,454073,7604792,14,2620897251.0
273,110065500,453882,7604708,453279,7604102,11,2515210175.5
274,110065600,453103,7603969,452354,7603325,11,2515210175.5
275,110065700,452344,7603179,451731,7602558,8,1381401648.0
276,110065800,451714,7602426,451026,7601763,13,1842033225.5
277,110065900,450917,7601583,450185,7600903,11,2515210175.5
278,110066000,450116,7600774,448948,7599998,13,1842033225.5
279,110066100,449219,7599980,448695,7599574,12,2363950158.0
280,110066200,448728,7599523,447863,7598696,12,2363950158.0
281,110066300,447608,7598539,446900,7597823,12,2363950158.0
282,110066400,446769,7597604,446050,7596873,11,2515210175.5
283,110067800,459283,7610443,458631,7609767,14,2620897251.0
284,110067900,458269,7609753,457558,7608982,10,1868680390.0
285,110068000,458495,7609858,459524,7610877,13,1842033225.5
286,110068100,456805,7608083,456341,7607597,9,1832158764.0
287,110068200,456155,7607407,455491,7606735,10,1868680390.0
288,110068300,456063,7607525,456801,7608269,8,1381401648.0
289,110068400,454593,7605867,453993,7605028,12,2363950158.0
290,110068500,453722,7604986,453061,7604299,13,1842033225.5
291,110068700,452336,7603462,451222,7602394,10,1868680390.0
292,110068800,451585,7602523,450876,7601828,12,2363950158.0
293,110068900,450798,7601680,450114,7601024,12,2363950158.0
294,110069200,448624,7599830,447758,7599063,10,1868680390.0
295,110069300,447516,7598877,446790,7598135,10,1868680390.0
296,110069400,446542,7597786,445911,7597162,8,1381401648.0
